tema,artista,album,albumId,cover
Jailhouse Rock,Elvis Presley,USA Anthems,1744617809,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/18/1d/66/181d6698-e946-b498-326c-be39e68140c3/196872078329.jpg/300x300bb.jpg
Trouble,Elvis Presley,Elvis Presley Sings Leiber & Stoller,1106774797,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/e3/48/50/e3485075-fac2-15ba-b1d9-2af0e48cd228/886445813531.jpg/300x300bb.jpg
Lamento boliviano,Enanitos Verdes,Cronicas: Los Enanitos Verdes,1452786280,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/85/df/a9/85dfa916-78f6-2283-3999-9a099701ebcd/00602498489161.rgb.jpg/300x300bb.jpg
Experiencia religiosa,Enrique Iglesias,Enrique Iglesias,1521763194,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/6f/48/01/6f4801f2-3c2e-1585-0b3b-2fb7ec9cfaa9/195081844084.jpg/300x300bb.jpg
Cambalache,Enrique Santos Discépolo,"Vintage Argentine Tangos (1928 - 1954), Vol. 1",1293964217,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/01/db/f3/01dbf3b1-9aae-6bda-49a6-3f891a28a857/cover.jpg/300x300bb.jpg
A Little Respect,Erasure,The Innocents,332852548,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/bc/5a/a0/bc5aa061-1010-6d23-9ff5-bae2f97720ce/mzi.ouqqcxnp.jpg/300x300bb.jpg
Change the World,Eric Clapton,Phenomenon (Music from the Motion Picture),330089735,https://is1-ssl.mzstatic.com/image/thumb/Music/f3/fa/13/mzi.bozqzgju.jpg/300x300bb.jpg
More Than Words,Extreme,Extreme II: Pornograffitti,1445751596,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/13/51/37/13513726-9197-8dea-bf06-b134044f8d34/06UMGIM00648.rgb.jpg/300x300bb.jpg
Nada es para siempre,Fabiana Cantilo,Lo Mejor de Fabiana Cantilo,201927599,https://is1-ssl.mzstatic.com/image/thumb/Features124/v4/30/f0/66/30f066a9-76cd-30cd-e337-af72200f0821/dj.whsidmzj.jpg/300x300bb.jpg
Azúcar amargo,Fey,Tierna la Noche,383581031,https://is1-ssl.mzstatic.com/image/thumb/Music/70/11/e1/mzi.gjitqmoc.jpg/300x300bb.jpg
